throttle1,throttle2,t_sample_start_s,n_rows_in_window,avg_loadcell1,avg_loadcell2,avg_rpm1,avg_rpm2,avg_pack_v,avg_cell1_v,avg_cell2_v,avg_cell3_v
0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,12.528666666666666,4.158499999999999,4.182166666666666,4.188
9.8,9.8,2.427,19,-5.157894736842105,10.68421052631579,1075.0526315789473,828.5263157894736,12.537210526315791,4.158421052631579,4.185368421052631,4.19342105263158
9.8,20.0,5.382,19,-31.736842105263158,42.94736842105263,2347.5789473684213,852.8947368421053,12.535,4.156263157894736,4.184947368421053,4.193789473684211
9.8,29.8,8.186,14,-82.07142857142857,108.71428571428571,3589.5714285714284,869.5714285714286,12.50792857142857,4.153071428571429,4.1665,4.188357142857144
20.0,9.8,11.169,17,21.941176470588236,31.529411764705884,1118.8823529411766,2129.9411764705883,12.525176470588235,4.156058823529412,4.184647058823529,4.1844705882352935
20.0,20.0,14.278,18,-11.5,66.05555555555556,2333.0555555555557,2218.0,12.510777777777776,4.156000000000001,4.174166666666667,4.180611111111111
20.0,29.8,17.326,19,-64.05263157894737,131.8421052631579,3538.6315789473683,2197.9473684210525,12.482684210526315,4.138631578947369,4.1758421052631585,4.16821052631579
20.0,40.0,20.372,17,-130.2941176470588,216.1764705882353,4630.176470588235,2221.294117647059,12.430823529411766,4.125,4.150411764705882,4.155411764705883
29.8,9.8,23.344,16,56.4375,76.375,1184.4375,3259.75,12.4829375,4.140375,4.176,4.1665624999999995
29.8,20.0,26.234,15,24.133333333333333,97.4,2372.733333333333,3295.6666666666665,12.481733333333331,4.135866666666668,4.1668666666666665,4.178999999999999
29.8,29.8,29.297,16,-31.3125,168.125,3578.75,3292.875,12.45375,4.1335,4.1515,4.16875
29.8,40.0,32.353,14,-96.21428571428571,255.35714285714286,4586.428571428572,3311.285714285714,12.399928571428573,4.111714285714286,4.141571428571429,4.146642857142857
29.8,49.8,35.303,14,-171.28571428571428,347.7142857142857,5505.428571428572,3268.785714285714,12.319428571428574,4.087714285714287,4.116285714285714,4.115428571428571
40.0,20.0,38.346,16,71.25,156.3125,2513.3125,4255.875,12.4029375,4.11225,4.143000000000001,4.1476875
40.0,29.8,41.375,16,10.875,223.25,3453.125,4279.125,12.3819375,4.1108125,4.1356874999999995,4.1354375
40.0,40.0,44.461,15,-54.86666666666667,307.8666666666667,4559.533333333334,4229.733333333334,12.33826666666667,4.090000000000002,4.119799999999999,4.128466666666666
40.0,49.8,47.538,17,-124.17647058823529,393.7647058823529,5445.176470588235,4187.058823529412,12.263117647058822,4.065529411764706,4.09729411764706,4.100294117647059
40.0,60.0,50.298,16,-203.9375,500.6875,6253.5625,4196.5,12.16825,4.023937500000001,4.073375,4.0709375
49.8,29.8,53.308,16,68.4375,227.1875,3526.875,5075.0625,12.2874375,4.067375,4.107374999999999,4.1126875
49.8,40.0,56.468,17,-13.764705882352942,365.4117647058824,4467.823529411765,5068.294117647059,12.240588235294117,4.055117647058824,4.089058823529412,4.096411764705882
49.8,49.8,59.378,17,-82.94117647058823,458.29411764705884,5370.117647058823,5031.882352941177,12.180176470588236,4.02864705882353,4.072176470588236,4.079352941176471
49.8,60.0,62.296,17,-160.2941176470588,539.7647058823529,6129.0,5020.294117647059,12.083411764705883,4.0008235294117656,4.041117647058823,4.041470588235294
49.8,69.8,65.205,17,-260.7647058823529,727.0588235294117,6989.176470588235,4941.823529411765,11.948294117647057,3.9530588235294117,3.999411764705883,3.9958235294117648
60.0,40.0,68.38,17,45.294117647058826,323.05882352941177,4450.882352941177,5773.294117647059,12.11764705882353,4.009058823529412,4.05035294117647,4.0582352941176465
60.0,49.8,71.417,17,-33.0,514.7647058823529,5261.411764705882,5749.705882352941,12.06435294117647,3.9921764705882357,4.03964705882353,4.032529411764706
60.0,60.0,74.491,14,-102.57142857142857,625.5,6123.571428571428,5657.785714285715,11.97842857142857,3.9582142857142855,4.0122857142857145,4.007928571428572
60.0,69.8,77.427,16,-206.1875,782.6875,6921.0625,5705.5625,11.851875,3.9136249999999997,3.9738125,3.9644375
60.0,80.0,80.32,15,-287.0,886.6,7528.866666666667,5619.733333333334,11.728933333333336,3.8712666666666657,3.9335333333333335,3.924133333333333
69.8,49.8,83.305,17,40.8235294117647,434.29411764705884,5142.176470588235,6481.117647058823,11.902705882352942,3.935058823529412,3.9884117647058823,3.979235294117647
69.8,60.0,86.6,19,-49.73684210526316,588.8421052631579,5941.631578947368,6428.210526315789,11.83178947368421,3.913,3.967157894736842,3.9516315789473677
69.8,69.8,89.4,17,-145.94117647058823,777.8823529411765,6833.35294117647,6400.64705882353,11.723470588235294,3.871941176470589,3.933529411764706,3.9179999999999997
69.8,80.0,92.289,16,-224.9375,884.125,7361.9375,6385.75,11.6139375,3.8425625,3.8869375,3.8844374999999998
69.8,89.8,95.38,17,-300.8235294117647,996.2352941176471,7845.35294117647,6326.588235294118,11.491294117647058,3.799823529411765,3.851823529411764,3.8396470588235294
80.0,60.0,98.584,20,3.75,630.55,5800.25,6932.45,11.684349999999998,3.8679,3.909250000000001,3.907200000000001
80.0,69.8,101.515,17,-103.52941176470588,819.1176470588235,6676.941176470588,6898.058823529412,11.606000000000002,3.840588235294118,3.8859999999999997,3.879411764705882
80.0,80.0,104.539,16,-180.375,917.625,7187.375,6858.625,11.511125,3.803125,3.8594375000000003,3.8485625
80.0,89.8,107.352,17,-251.2941176470588,1037.8235294117646,7720.529411764706,6859.823529411765,11.406470588235296,3.767352941176471,3.8280588235294117,3.8110588235294114
80.0,100.0,110.286,16,-296.4375,1102.75,8056.875,6831.3125,11.317,3.7365000000000004,3.7984999999999998,3.782
89.8,69.8,113.526,19,-53.10526315789474,819.9473684210526,6467.0,7329.210526315789,11.466526315789473,3.7927894736842105,3.8450526315789464,3.828684210526316
89.8,80.0,116.489,15,-121.6,935.4,7040.666666666667,7277.933333333333,11.391200000000001,3.7641333333333336,3.828466666666667,3.7986000000000004
89.8,89.8,119.558,18,-196.5,1030.5,7601.166666666667,7200.833333333333,11.300055555555556,3.735555555555556,3.7904999999999998,3.774
89.8,100.0,122.656,15,-243.8,1100.8,7879.466666666666,7212.333333333333,11.205066666666669,3.6984666666666666,3.7647333333333344,3.7418666666666667
100.0,80.0,125.585,17,-82.52941176470588,912.8235294117648,6880.235294117647,7490.882352941177,11.276529411764704,3.729882352941176,3.7772352941176477,3.7694117647058825
100.0,89.8,128.496,16,-158.6875,1014.3125,7477.8125,7429.875,11.1930625,3.6930625,3.7586874999999997,3.7413125000000003
100.0,100.0,131.678,17,-206.05882352941177,1063.0588235294117,7782.35294117647,7462.058823529412,11.113999999999999,3.669764705882353,3.729,3.715235294117647
0.0,0.0,134.476,6,0.0,-2.0,501.0,221.83333333333334,11.692166666666665,3.8801666666666663,3.906833333333333,3.9051666666666662
